Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00  2749121     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) (stl_vector.h:795 @ 205e)
  0.00      0.00     0.00  2749121     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) (stl_vector.h:795 @ 2092)
  0.00      0.00     0.00   281734     0.00     0.00  GOL::nbAliveNeighbours(int, int) (GOL.cpp:50 @ 1bb4)
  0.00      0.00     0.00    22100     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&) (stl_iterator.h:782 @ 5064)
  0.00      0.00     0.00    22100     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const (stl_iterator.h:847 @ 56b0)
  0.00      0.00     0.00    22100     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) (cpp_type_traits.h:408 @ 50b3)
  0.00      0.00     0.00    22100     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) (stl_iterator.h:986 @ 5406)
  0.00      0.00     0.00    16602     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() (stl_vector.h:115 @ 13fa)
  0.00      0.00     0.00    16550     0.00     0.00  std::vector<int, std::allocator<int> >::size() const (stl_vector.h:670 @ 4958)
  0.00      0.00     0.00    16500     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) (stl_iterator.h:782 @ 508c)
  0.00      0.00     0.00    11440     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const (stl_iterator.h:847 @ 436e)
  0.00      0.00     0.00    11102     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator() (new_allocator.h:86 @ 14cc)
  0.00      0.00     0.00    11102     0.00     0.00  std::allocator<int>::~allocator() (allocator.h:139 @ 1442)
  0.00      0.00     0.00    11101     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&) (new_allocator.h:81 @ 3cce)
  0.00      0.00     0.00    11101     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&) (allocator.h:133 @ 380a)
  0.00      0.00     0.00    11100     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) (move.h:47 @ 1297)
  0.00      0.00     0.00    11050     0.00     0.00  std::vector<int, std::allocator<int> >::end() const (stl_vector.h:590 @ 4a12)
  0.00      0.00     0.00    11050     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const (stl_vector.h:572 @ 49b8)
  0.00      0.00     0.00    11050     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) (stl_algobase.h:357 @ 56e0)
  0.00      0.00     0.00    11050     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*) (stl_algobase.h:375 @ 544c)
  0.00      0.00     0.00     5610     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> > const*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) (stl_iterator.h:883 @ 4d42)
  0.00      0.00     0.00     5551     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long) (new_allocator.h:116 @ 152e)
  0.00      0.00     0.00     5551     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) (new_allocator.h:99 @ 4578)
  0.00      0.00     0.00     5551     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const (new_allocator.h:129 @ 4dca)
  0.00      0.00     0.00     5551     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*) (stl_construct.h:117 @ 1515)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) (stl_vector.h:169 @ 3836)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) (stl_vector.h:92 @ 3040)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl() (stl_vector.h:81 @ 1382)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) (stl_vector.h:176 @ 1464)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long) (stl_vector.h:185 @ 3090)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) (stl_vector.h:136 @ 2486)
  0.00      0.00     0.00     5551     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base() (stl_vector.h:161 @ 13a4)
  0.00      0.00     0.00     5551     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long) (alloc_traits.h:461 @ 14e1)
  0.00      0.00     0.00     5551     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long) (alloc_traits.h:435 @ 3ce7)
  0.00      0.00     0.00     5551     0.00     0.00  std::vector<int, std::allocator<int> >::~vector() (stl_vector.h:433 @ 1338)
  0.00      0.00     0.00     5551     0.00     0.00  int* std::__niter_base<int*>(int*) (stl_algobase.h:277 @ 4de8)
